 #  t  vx  vy   vz
  0.00489,  0.99953, -0.01151,  0.00244
  0.01619,  0.99483, -0.03815,  0.00810
  0.01973,  0.99233, -0.04647,  0.00986
  0.03316,  0.97838, -0.07809,  0.01658
  0.06026,  0.92918, -0.14177,  0.03013
  0.07784,  0.88275, -0.18296,  0.03892
  0.08130,  0.87236, -0.19103,  0.04065
  0.08185,  0.87064, -0.19233,  0.04093
  0.09014,  0.84387, -0.21167,  0.04507
  0.10005,  0.80882, -0.23477,  0.05003
  0.10229,  0.80049, -0.23997,  0.05114
  0.10275,  0.79873, -0.24106,  0.05138
  0.11781,  0.73831, -0.27600,  0.05891
  0.19564,  0.33494, -0.45375,  0.09782
  0.22804,  0.13755, -0.52589,  0.11402
  0.22910,  0.13096, -0.52822,  0.11455
  0.23493,  0.09452, -0.54107,  0.11747
  0.26066, -0.06691, -0.59714,  0.13033
  0.27137, -0.13388, -0.62022,  0.13569
  0.36549, -0.66361, -0.81463,  0.18274
  0.40791, -0.83722, -0.89669,  0.20396
  0.41629, -0.86483, -0.91243,  0.20814
  0.43854, -0.92637, -0.95349,  0.21927
  0.44097, -0.93199, -0.95789,  0.22048
  0.44518, -0.94126, -0.96551,  0.22259
  0.45339, -0.95743, -0.98024,  0.22670
  0.47823, -0.99066, -1.02377,  0.23911
  0.51001, -0.99802, -1.07720,  0.25500
  0.54010, -0.96842, -1.12533,  0.27005
  0.55730, -0.93589, -1.15170,  0.27865
  0.57112, -0.90181, -1.17230,  0.28556
  0.58356, -0.86531, -1.19035,  0.29178
  0.60288, -0.79824, -1.21750,  0.30144
  0.65950, -0.53846, -1.29052,  0.32975
  0.68167, -0.41626, -1.31635,  0.34084
  0.70906, -0.25441, -1.34606,  0.35453
  0.74229, -0.04845, -1.37876,  0.37114
  0.75449,  0.02821, -1.38983,  0.37725
  0.75789,  0.04953, -1.39282,  0.37894
  0.77789,  0.17433, -1.40963,  0.38894
  0.81147,  0.37668, -1.43470,  0.40573
  0.83498,  0.50891, -1.44989,  0.41749
  0.86389,  0.65604, -1.46585,  0.43194
  0.86624,  0.66715, -1.46701,  0.43312
  0.86872,  0.67865, -1.46822,  0.43436
  0.86897,  0.67984, -1.46834,  0.43449
  0.90182,  0.81570, -1.48220,  0.45091
  0.95358,  0.95777, -1.49601,  0.47679
  0.96484,  0.97570, -1.49771,  0.48242
  0.96540,  0.97647, -1.49779,  0.48270
  0.96848,  0.98046, -1.49816,  0.48424
  0.97399,  0.98667, -1.49875,  0.48699
  0.97575,  0.98842, -1.49891,  0.48788
  0.99419,  0.99933, -1.49994,  0.49709
  1.00865,  0.99852, -1.49986,  0.50432
  1.01335,  0.99648, -1.49967,  0.50668
  1.02587,  0.98681, -1.49876,  0.51294
  1.02717,  0.98546, -1.49863,  0.51358
  1.04703,  0.95667, -1.49591,  0.52351
  1.06026,  0.92918, -1.49329,  0.53013
  1.07130,  0.90133, -1.49060,  0.53565
  1.07824,  0.88159, -1.48869,  0.53912
  1.08057,  0.87458, -1.48800,  0.54028
  1.08082,  0.87381, -1.48793,  0.54041
  1.09537,  0.82578, -1.48320,  0.54768
  1.10544,  0.78847, -1.47947,  0.55272
  1.11555,  0.74780, -1.47536,  0.55778
  1.12957,  0.68651, -1.46904,  0.56479
  1.13721,  0.65084, -1.46530,  0.56860
  1.14332,  0.62123, -1.46215,  0.57166
  1.16293,  0.52020, -1.45114,  0.58146
  1.18716,  0.38468, -1.43565,  0.59358
  1.19457,  0.34126, -1.43048,  0.59729
  1.20874,  0.25633, -1.42008,  0.60437
  1.23023,  0.12387, -1.40297,  0.61512
  1.27141, -0.13415, -1.36573,  0.63571
  1.27203, -0.13795, -1.36513,  0.63601
  1.27793, -0.17462, -1.35931,  0.63897
  1.28447, -0.21488, -1.35272,  0.64223
  1.29797, -0.29685, -1.33868,  0.64898
  1.29821, -0.29827, -1.33842,  0.64910
  1.30314, -0.32772, -1.33314,  0.65157
  1.32601, -0.45964, -1.30758,  0.66301
  1.33623, -0.51566, -1.29562,  0.66811
  1.34381, -0.55589, -1.28652,  0.67191
